subject,class_year,section,theme,subtheme,lesson_link,homework_link,subtheme_number,umit_id,section_id,theme_id,subtheme_id,speaker_id,course_id,mgmonth_id,subtheme_umits,hw_umits,hw_ids,les_id
baz,3,Стереометрия,Подобие во всех плоских фигурах и объёмных телах,Подобие во всех плоских фигурах и объёмных телах,https://umschool.net/lessons/access/uSTOwosROpeQ0evnk7ksvvYMLopiPpTSP5xoQBvumxokgc7r006ufMt,,5,"862,863,864",23,119,206,12,,"3634,3676,6819","862,863,864","654,656,657,658,687,835,838,847,862,863,864,1220,1300","240227,240258,240306,240321,240343,240357,240414,240437,240501,240557,240601,240630,240639,240643,240659,240677,240687,240706,240717,240726",40594
baz,3,"Теория вероятностей, комбинаторика, статистика",Простейшая вероятность,Простейшая вероятность,,,15,"901,902,903,906,925",24,120,207,12,,"3466,3508,6735,3550,3592,6777,3634,3676,6819,3718,3760,6861,3802,3844,6903,3890,3932,6945,3974,4016,6987,4058,4100,7029,4142,4184,7071","901,902,903,906,925",,,
baz,3,"Теория вероятностей, комбинаторика, статистика",Теоремы о вероятностях событий,Теоремы о вероятностях событий,,,17,"904,905,907,926,927",24,121,208,12,,"3466,3508,6735,3550,3592,6777,3634,3676,6819,3718,3760,6861,3802,3844,6903,3890,3932,6945,3974,4016,6987,4058,4100,7029,4142,4184,7071","904,905,907,926,927",,,
baz,3,Текстовые задачи,Действия с формулами,Действия с формулами,https://umschool.net/lessons/access/l7NqGnH4DrssxwJy3JXnqmOzcbRFIIzYbvjCWMk7Nxm12CnvcHYzzrZ,,18,"1001,1004,1005",25,122,209,12,,"3634,3676,6819","1001,1004,1005","3,122,202,1208,1236","146116,146146,146151",48508
baz,3,Текстовые задачи,Сложные проценты,Сложные проценты,https://umschool.net/lessons/access/6cP3K0SkoMl7SeXaSeOUPR0pWFONX9XkKu1rU2hDhK1KCj5IV4WJR88,,19,1009,25,123,210,12,,"3634,3676,6819",1009,"35,36,37,211,1003,1009,1225","190271,190284,190296,190301,190304,190309,190336,190355,190363,190369,190376,190403,190923,190934,190944,190953,190961,190965,190968,190970,190975,190980,190983,190986,190987,190989,190996,190999,191002",40604
baz,3,"Финансовая математика, задача с параметром, числа и их свойства",Выбор оптимального варианта,Выбор оптимального варианта,,,20,1106,26,124,211,12,,"3466,3508,6735,3550,3592,6777,3634,3676,6819,3718,3760,6861,3802,3844,6903,3890,3932,6945,3974,4016,6987,4058,4100,7029,4142,4184,7071",1106,,,
baz,3,Навыки и умения,Оценка площади по карте,Оценка площади по карте,,,21,"1237,1241",27,126,213,12,,"3466,3508,6735,3550,3592,6777,3634,3676,6819,3718,3760,6861,3802,3844,6903,3890,3932,6945,3974,4016,6987,4058,4100,7029,4142,4184,7071","1237,1241",,,
baz,3,Навыки и умения,Простейшие текстовые задачи,Простейшие текстовые задачи,https://umschool.net/lessons/access/gbT6X2Kne81ISBqN9QUuyfqDGAhOaMy6GNkOCttAVfAZ46ydOjnqDS7,,4,1249,27,129,216,12,,"3634,3676,6819",1249,"1001,1249",146112,48519
bio,4,Зоология,Эволюция,Эволюция сиситем оганов,,,8,174,28,130,217,60,,"3484,3526,6738,3568,3610,6779,3652,3694,6821,3736,3778,6863,3820,3862,6905,3908,3950,6947,3992,4034,6989,4076,4118,7031,4160,4202,7073",174,,,
bio,4,Анатомия,Антропогенез,Антропогенез,,,13,"201,202,203,204",29,131,218,60,,"3484,3526,6738,3568,3610,6779,3652,3694,6821,3736,3778,6863,3820,3862,6905,3908,3950,6947,3992,4034,6989,4076,4118,7031,4160,4202,7073","201,202,203,204",,,
